category_code,brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate,min_price,max_price,avg_price
electronics.clocks,samsung,79,4,4,0.0506,1,0.0506,154.16,486.38,257.5926563
electronics.audio.headphone,hp,77,3,4,0.039,1.3333,0.0519,234.21,2275.13,536.8411111
electronics.audio.subwoofer,Unknown,77,3,2,0.039,0.6667,0.026,3.6,301.15,79.27441748
apparel.shoes,rieker,76,0,1,0,,0.0132,40.93,106.57,55.9044186
appliances.kitchen.refrigerators,dauscher,76,3,1,0.0395,0.3333,0.0132,20.08,977.89,375.2264458
appliances.kitchen.refrigerators,pulser,76,2,3,0.0263,1.5,0.0395,185.31,2293.47,749.4199701
electronics.video.tv,Unknown,76,3,2,0.0395,0.6667,0.0263,0,347.5,131.940875
kids.toys,lucente,75,6,1,0.08,0.1667,0.0133,25.99,315.85,184.6201186
construction.tools.light,honor,74,1,1,0.0135,1,0.0135,90.07,668.97,236.6597297
appliances.kitchen.washer,indesit,73,3,2,0.0411,0.6667,0.0274,117.89,357.23,223.2692414
kids.toys,hasbro,73,4,1,0.0548,0.25,0.0137,12.5,72.05,20.68457143
computers.peripherals.printer,sokolov,71,3,2,0.0423,0.6667,0.0282,8.75,698.07,107.3752294
construction.components.faucet,lucente,71,3,2,0.0423,0.6667,0.0282,62.29,301.17,150.7093452
Unknown,triangle,69,6,1,0.087,0.1667,0.0145,30.37,82.37,48.72024845
appliances.environment.vacuum,samsung,67,7,7,0.1045,1,0.1045,66.41,823.68,129.4818041
apparel.shoes.slipons,samsung,65,10,6,0.1538,0.6,0.0923,37.32,720.46,242.9874176
computers.components.cooler,redmond,63,5,2,0.0794,0.4,0.0317,38.35,229.84,94.77862069
sport.bicycle,jbl,63,2,2,0.0317,1,0.0317,8.96,257.12,66.06
furniture.kitchen.table,defacto,62,1,0,0.0161,0,0,3.84,23.14,8.466899225
appliances.sewing_machine,janome,61,10,6,0.1639,0.6,0.0984,103.6,1286.73,246.9392825
Unknown,aeroforce,60,2,2,0.0333,1,0.0333,24.45,217.25,125.3136697
Unknown,stels,60,2,1,0.0333,0.5,0.0167,15.44,190.46,114.4688034
electronics.audio.headphone,apple,59,5,1,0.0847,0.2,0.0169,25.71,2574.04,1437.115588
electronics.smartphone,samsung,59,1,1,0.0169,1,0.0169,174.75,849.16,350.3361458
kids.skates,Unknown,59,1,0,0.0169,0,0,0,411.85,112.4760119
Unknown,yokohama,58,6,1,0.1034,0.1667,0.0172,44.27,207.61,84.50263566
apparel.scarf,mattel,58,1,0,0.0172,0,0,6.92,24.69,8.615212766
electronics.clocks,amazfit,58,1,0,0.0172,0,0,63.7,245.57,79.37508475
Unknown,artel,57,5,3,0.0877,0.6,0.0526,87.49,424.44,174.4493023
Unknown,bts,57,1,1,0.0175,1,0.0175,56.6,445.29,259.0409
Unknown,verloni,57,2,1,0.0351,0.5,0.0175,41.16,68.02,41.79555556
sport.bicycle,Unknown,57,0,0,0,,0,5.12,1274.16,125.8368159
appliances.environment.vacuum,bosch,56,0,0,0,,0,77.74,401.53,170.2205785
Unknown,skad,55,5,0,0.0909,0,0,48.39,361.91,222.9281818
kids.toys,respect,55,0,0,0,,0,31.92,76.96,46.13397727
sport.snowboard,Unknown,55,1,0,0.0182,0,0,2.34,308.89,187.122
appliances.kitchen.refrigerators,lg,54,2,0,0.037,0,0,334.6,1956.03,663.634252
furniture.kitchen.table,Unknown,54,1,0,0.0185,0,0,0,2187.96,336.7296262
Unknown,kapsen,53,3,0,0.0566,0,0,24.97,80.05,44.52873684
appliances.kitchen.toster,phoenix,53,2,2,0.0377,1,0.0377,77.2,231.64,159.7880342
appliances.personal.massager,haier,53,2,2,0.0377,1,0.0377,108.09,772.19,232.5744094
appliances.kitchen.refrigerators,indesit,52,4,2,0.0769,0.5,0.0385,176.92,414.4,300.6695964
appliances.personal.massager,xiaomi,52,1,1,0.0192,1,0.0192,39.9,514.79,361.1610471
construction.tools.welding,samsung,52,2,0,0.0385,0,0,2.29,43.73,18.73457143
accessories.wallet,sho-me,50,4,2,0.08,0.5,0.04,90.09,193.06,139.8768085
electronics.clocks,orient,50,2,1,0.04,0.5,0.02,63.06,278.62,148.802623
sport.bicycle,sony,50,4,2,0.08,0.5,0.04,6.41,1801.82,130.3794805
apparel.shoes,starline,49,2,1,0.0408,0.5,0.0204,58.69,595.9,160.2290816
construction.components.faucet,sokolov,49,3,5,0.0612,1.6667,0.102,7.85,532.83,109.1041667
furniture.kitchen.table,febest,49,0,0,0,,0,1.08,145.78,17.33506667
Unknown,goodyear,47,1,0,0.0213,0,0,46.85,429.48,86.76028169
apparel.shoes.sandals,montale,47,2,1,0.0426,0.5,0.0213,79.19,162.42,92.43197531
appliances.personal.massager,arg,47,0,0,0,,0,102.94,360.34,245.8647368
computers.components.motherboard,defacto,47,1,3,0.0213,3,0.0638,11.56,43.73,17.04633588
kids.dolls,Unknown,47,0,0,0,,0,1.88,1415.71,157.3710843
appliances.personal.massager,sony,45,3,0,0.0667,0,0,295.99,2574.04,735.1152846
furniture.universal.light,Unknown,45,1,1,0.0222,1,0.0222,4.09,1424.81,183.0779
sport.bicycle,huawei,45,2,1,0.0444,0.5,0.0222,10.01,179.9,120.9479121
apparel.shoes,intex,44,0,1,0,,0.0227,22.81,105.82,48.48837209
appliances.kitchen.meat_grinder,salamander,44,1,0,0.0227,0,0,51.22,136.94,83.68088889
appliances.kitchen.refrigerators,samsung,44,1,0,0.0227,0,0,213.62,1776.08,815.6560448
construction.tools.welding,Unknown,44,3,0,0.0682,0,0,0,504.62,142.9775229
electronics.clocks,garmin,44,1,0,0.0227,0,0,64.09,2568.92,696.0233962
apparel.costume,Unknown,43,1,0,0.0233,0,0,4.34,770.97,89.59752941
electronics.video.tv,jvc,43,2,1,0.0465,0.5,0.0233,25.74,296.02,75.3
accessories.wallet,Unknown,42,3,0,0.0714,0,0,30.86,471.05,79.37316239
apparel.shoes.slipons,apple,42,2,0,0.0476,0,0,308.61,1801.59,752.4330357
appliances.environment.vacuum,tefal,42,0,1,0,,0.0238,69.47,386.08,176.3401163
electronics.video.tv,ams,42,0,0,0,,0,126.13,360.37,225.7731579
furniture.living_room.chair,lego,42,2,0,0.0476,0,0,4.61,442.48,52.51289157
sport.bicycle,redmond,42,1,1,0.0238,1,0.0238,14.65,95.72,49.5977305
Unknown,galaxy,41,1,0,0.0244,0,0,8.73,107.93,30.94183908
Unknown,maxxis,41,3,0,0.0732,0,0,37.71,242.99,115.4375
Unknown,nokian,41,1,0,0.0244,0,0,37.2,222.91,69.384375
Unknown,rowenta,41,7,3,0.1707,0.4286,0.0732,19.72,687.28,150.1479487
apparel.shorts,imperial,41,0,0,0,,0,669.23,785.09,678.7877273
appliances.environment.vacuum,xiaomi,41,3,1,0.0732,0.3333,0.0244,77.22,510.91,316.5466346
appliances.kitchen.washer,beko,41,4,3,0.0976,0.75,0.0732,182.73,346.55,219.0621622
construction.tools.drill,Unknown,41,2,0,0.0488,0,0,11.56,1230.69,108.9973171
accessories.bag,glasman,40,0,0,0,,0,32.16,77.2,39.8758209
apparel.shirt,defacto,40,1,0,0.025,0,0,4.35,30.86,14.69475
appliances.kitchen.oven,asel,40,5,6,0.125,1.2,0.15,43.73,92.95,58.63856481
electronics.clocks,xiaomi,40,0,0,0,,0,4.53,205.67,134.9466234
apparel.shorts,lider,39,0,1,0,,0.0256,382.22,734.36,435.0530682
appliances.kitchen.refrigerators,domini,39,1,1,0.0256,1,0.0256,208.5,463.33,318.0554795
appliances.kitchen.toster,Unknown,39,3,0,0.0769,0,0,9.44,2552.96,200.3818269
computers.components.cooler,Unknown,39,2,1,0.0513,0.5,0.0256,3.06,809.63,64.60228261
sport.bicycle,accesstyle,39,2,1,0.0513,0.5,0.0256,28.14,45.88,28.44926471
sport.trainer,lider,39,0,0,0,,0,202.04,437.33,347.8619388
apparel.trousers,iqos,38,6,12,0.1579,2,0.3158,43.76,95.24,64.387
furniture.living_room.sofa,divalux,38,0,0,0,,0,411.85,1274.16,734.408375
Unknown,philips,37,5,1,0.1351,0.2,0.027,25.71,900.9,79.23129412
appliances.kitchen.refrigerators,netechnics,37,0,1,0,,0.027,566.04,2033.51,999.6668831
appliances.kitchen.washer,midea,37,4,2,0.1081,0.5,0.0541,100.36,322.83,170.3960377
country_yard.cultivator,defacto,37,1,1,0.027,1,0.027,5.12,25.71,8.623478261
